City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Thompson,CA,2021-04-03 13:25:57,55.7435,-97.8558,21.2,86,75,6.91
90,Husavik,IS,2021-04-03 13:25:37,66.0449,-17.3389,46.4,53,75,20.71
91,Saldanha,ZA,2021-04-03 13:27:53,-33.0117,17.9442,78.8,34,36,9.22
92,Ponta Do Sol,PT,2021-04-03 13:26:08,32.6667,-17.1,64.0,56,43,5.99
93,Ancud,CL,2021-04-03 13:26:02,-41.8697,-73.8203,52.0,81,0,4.61
94,Komsomolskiy,UZ,2021-04-03 13:28:02,40.4272,71.7189,59.0,23,65,4.61
95,Cajati,BR,2021-04-03 13:30:35,-24.7361,-48.1228,76.6,72,95,1.9
96,Bathsheba,BB,2021-04-03 13:26:56,13.2167,-59.5167,82.4,69,40,24.16
97,Hermanus,ZA,2021-04-03 13:25:33,-34.4187,19.2345,75.99,47,9,4.0
98,Avera,US,2021-04-03 13:28:15,33.194,-82.5271,44.6,61,1,6.91
99,Lukovetskiy,RU,2021-04-03 13:30:36,64.2956,41.9211,35.6,60,40,4.47
100,Bunga,PH,2021-04-03 13:30:36,11.4838,124.5918,77.29,86,3,4.88
101,Pitanga,BR,2021-04-03 13:30:36,-24.7572,-51.7614,73.33,51,0,4.18
102,Dikson,RU,2021-04-03 13:25:48,73.5069,80.5464,-13.25,81,11,5.39
103,Aksu,CN,2021-04-03 13:30:37,41.1231,80.2644,45.14,54,94,14.63
104,Kijang,KR,2021-04-03 13:30:37,35.2442,129.2139,62.6,94,90,4.61
105,Port Alfred,ZA,2021-04-03 13:26:31,-33.5906,26.891,70.38,60,26,15.88
106,Barra Do Garcas,BR,2021-04-03 13:30:38,-15.89,-52.2567,78.8,73,75,4.34
107,Tiarei,PF,2021-04-03 13:26:20,-17.5333,-149.3333,78.8,78,20,8.05
108,Grindavik,IS,2021-04-03 13:27:10,63.8424,-22.4338,42.8,87,75,33.38
109,Simao,CN,2021-04-03 13:30:38,22.7886,100.9748,72.7,35,100,1.34
110,Ust-Maya,RU,2021-04-03 13:26:29,60.4167,134.5333,4.86,91,100,5.17
111,Kaitangata,NZ,2021-04-03 13:26:22,-46.2817,169.8464,57.0,42,100,8.01
112,Kasongo-Lunda,CD,2021-04-03 13:26:30,-6.4667,16.8167,86.49,60,99,1.57
113,Banyo,CM,2021-04-03 13:30:39,6.75,11.8167,92.35,13,100,9.86
